𧵑,cuar,1
吧,vaf,2
𱻀,laf,3
𠬠,mootj,4
固,cos,5
仍,nhuwngx,6
𠊛,nguwowif,7
𠊚,ngaif,7
𥪝,trongz,8
特,dduwowcj,9
空,khoongz,10
㐌,ddax,11
𠇍,maays,12
唄,vowis,12
朱,choz,13
各,cacs,14
碎,tooiz,15
於,owr,16
翁,oongz,17
𧗱,veef,18
底,ddeer,19
拱,cungx,20
旦,ddans,21
𦤾,ddeens,21
呢,nayf,22
𠓨,vaof,23
𡗉,nhieeuf,24
偀,anhz,25
妬,ddos,26
如,nhuwz,27
自,tuwj,28
欺,khiz,30
𨕭,treenz,31
𫥨,raz,32
𦓡,maf,33
沛,phair,34
吏,laij,35
群,conf,36
𠱊,sex,37
時,thif,38
㖘,thif,38
𢆥,nawmz,39
爫,lamf,40
茹,nhaf,41
𨉟,minhf,42
𠫾,ddiz,43
𡥵,conz,44
在,taij,45
𠄩,haiz,46
被,bij,47
備,bij,47
役,vieecj,48
只,chir,49
事,suwj,50
遶,theoz,51
丐,cais,52
爲,vif,53
欣,hownz,54
呐,nois,55
姑,cooz,56
𣈜,ngayf,57
㵋,mowis,58
𨖲,leenz,59
慄,raats,60
戶,hoj,61
婆,baf,62
局,cuoocj,63
册,sachs,64
同,ddoongf,65
銅,ddoongf,65
垌,ddoongf,65
𡢐,sauz,66
當,ddangz,68
咍,hayz,69
𤯩,soongs,70
年,nieenz,71
𢧚,neenz,71
固體,cos theer,72
固體,cos theer,72
别,bieets,73
𧡊,thaays,74
耒,rooif,75
城,thanhf,76
成,thanhf,76
誠,thanhf,76
吻,vaanx,77
恪,khacs,78
𠄼,nawmz,79
渃,nuwowcs,80
伮,nos,81
細,towis,82
戈,quaz,83
哿,car,84
共,coongj,85
之,gif,86
低,ddaayz,87
数,soos,88
歲,tuooir,89
次,thuws,90
奇,kyf,91
期,kyf,91
旗,cowf,91
圻,kyf,91
㛪,emz,92
一,nhaats,93
𠓀,truwowcs,94
伴,banj,95
意,ys,96
影,anhr,97
凭,bawngf,98
平,binhf,98
朋,bawngf,98
芇,naof,99
頭,ddaauf,100
投,ddaauf,100
